year,area,variable,generation_TWh,share_of_production_percent,change_on_last_year_percent,change_on_last_year_TWh
2000,Portugal,Other renewables,0.08,0.1844507977497,,
2000,Portugal,Production,43.372,,,
2000,Portugal,Net imports,0.931,,,
2000,Portugal,Demand,44.303,,,
2000,Romania,Fossil,31.326,60.756400310318,,
2000,Romania,Coal,18.926,36.7067494181536,,
2000,Romania,Hard Coal,0.383,0.742823894491854,,
2000,Romania,Lignite,18.543,35.9639255236617,,
2000,Romania,Gas,9.001,17.4573312645461,,
2000,Romania,Other fossil,3.399,6.5923196276183,,
2000,Romania,Nuclear,5.456,10.5818463925523,,
2000,Romania,Renewables,14.778,28.6617532971295,,
2000,Romania,Hydro,14.778,28.6617532971295,,
2000,Romania,Wind and solar,0.0,0.0,,
2000,Romania,Wind,0.0,0.0,,
2000,Romania,Solar,0.0,0.0,,
2000,Romania,Bioenergy,0.0,0.0,,
2000,Romania,Other renewables,0.0,0.0,,
2000,Romania,Production,51.56,,,
2000,Romania,Net imports,-0.696,,,
2000,Romania,Demand,50.864,,,
2000,Slovakia,Fossil,9.689,31.4598350542243,,
2000,Slovakia,Coal,5.584,18.1310474706149,,
2000,Slovakia,Hard Coal,3.369,10.9390220144165,,
2000,Slovakia,Lignite,2.215,7.19202545619845,,
2000,Slovakia,Gas,3.344,10.857847912202,,
2000,Slovakia,Other fossil,0.761,2.47093967140723,,
2000,Slovakia,Nuclear,16.494,53.555425676992,,
2000,Slovakia,Renewables,4.61499999999999,14.9847392687836,,
2000,Slovakia,Hydro,4.61499999999999,14.9847392687836,,
2000,Slovakia,Wind and solar,0.0,0.0,,
2000,Slovakia,Wind,0.0,0.0,,
2000,Slovakia,Solar,0.0,0.0,,
2000,Slovakia,Bioenergy,0.0,0.0,,
2000,Slovakia,Other renewables,0.0,0.0,,
2000,Slovakia,Production,30.798,,,
2000,Slovakia,Net imports,-2.696,,,
2000,Slovakia,Demand,28.1019999999999,,,
2000,Slovenia,Fossil,4.959,36.397796872696,,
2000,Slovenia,Coal,4.611,33.8435655132085,,
2000,Slovenia,Hard Coal,0.307,2.25330180276621,,
2000,Slovenia,Lignite,4.304,31.5902637104423,,
2000,Slovenia,Gas,0.293,2.15054536876384,,
2000,Slovenia,Other fossil,0.055,0.403685990723589,,
2000,Slovenia,Nuclear,4.761,34.944527306091,,
2000,Slovenia,Renewables,3.904451,28.6576758212129,,
2000,Slovenia,Hydro,3.834721,28.1458753824282,,
2000,Slovenia,Wind and solar,0.0,0.0,,
2000,Slovenia,Wind,0.0,0.0,,
2000,Slovenia,Solar,0.0,0.0,,
2000,Slovenia,Bioenergy,0.06973,0.511800438784652,,
2000,Slovenia,Other renewables,0.0,0.0,,
2000,Slovenia,Production,13.624451,,,
2000,Slovenia,Net imports,-1.32099999999999,,,
2000,Slovenia,Demand,12.303451,,,
2000,Spain,Fossil,124.221,56.2297152324176,,
2000,Spain,Coal,79.094,35.8025864917593,,
2000,Spain,Hard Coal,72.884,32.9915760217638,,
2000,Spain,Lignite,6.21,2.81101046999551,,
2000,Spain,Gas,20.178,9.13374706337674,,
2000,Spain,Other fossil,24.949,11.2933816772815,,
2000,Spain,Nuclear,62.206,28.1580865211821,,
2000,Spain,Renewables,34.49,15.6121982464002,,
2000,Spain,Hydro,28.256,12.790323967825,,
2000,Spain,Wind and solar,4.741,2.14605485318015,,
2000,Spain,Wind,4.727,2.13971763150866,,
2000,Spain,Solar,0.014,0.00633722167148748,,
2000,Spain,Bioenergy,1.493,0.675819425395057,,
2000,Spain,Other renewables,0.0,0.0,,
2000,Spain,Production,220.917,,,
2000,Spain,Net imports,4.441,,,
2000,Spain,Demand,225.358,,,
2000,Sweden,Fossil,4.77499999999999,3.28785607532937,,
2000,Sweden,Coal,1.636,1.12647801868876,,
2000,Sweden,Hard Coal,1.636,1.12647801868876,,
2000,Sweden,Lignite,0.0,0.0,,
2000,Sweden,Gas,0.484,0.333261223132862,,
2000,Sweden,Other fossil,2.655,1.82811683350774,,
2000,Sweden,Nuclear,57.316,39.4652898038907,,
2000,Sweden,Renewables,83.140418,57.2468541207798,,
2000,Sweden,Hydro,78.584,54.1095040468447,,
2000,Sweden,Wind and solar,0.458418,0.31564657724405,,
2000,Sweden,Wind,0.457,0.31467020448702,,
2000,Sweden,Solar,0.001418,0.000976372757029749,,
2000,Sweden,Bioenergy,4.098,2.82170349669105,,
2000,Sweden,Other renewables,0.0,0.0,,
2000,Sweden,Production,145.231418,,,
2000,Sweden,Net imports,4.67799999999999,,,
2000,Sweden,Demand,149.909418,,,
2000,United Kingdom,Fossil,279.342,74.6155592654424,,
2000,United Kingdom,Coal,119.95,32.0400667779632,,
2000,United Kingdom,Hard Coal,119.95,32.0400667779632,,
2000,United Kingdom,Lignite,0.0,0.0,,
2000,United Kingdom,Gas,148.077,39.5531218697829,,
2000,United Kingdom,Other fossil,11.315,3.02237061769616,,
2000,United Kingdom,Nuclear,85.063,22.7213355592654,,
2000,United Kingdom,Renewables,9.97,2.66310517529215,,
2000,United Kingdom,Hydro,5.086,1.35853088480801,,
2000,United Kingdom,Wind and solar,0.948,0.253222036727879,,
2000,United Kingdom,Wind,0.947,0.252954924874791,,
2000,United Kingdom,Solar,0.001,0.00026711185308848,,
2000,United Kingdom,Bioenergy,3.936,1.05135225375626,,
2000,United Kingdom,Other renewables,0.0,0.0,,
2000,United Kingdom,Production,374.375,,,
2000,United Kingdom,Net imports,14.174,,,
2000,United Kingdom,Demand,388.549,,,
2001,Austria,Fossil,18.819009,30.824451727464,14.6182508784562,2.40015
2001,Austria,Coal,6.893,11.2903365824103,20.3596996682381,1.166
2001,Austria,Hard Coal,5.299,8.67945648486762,19.4813979706877,0.864
2001,Austria,Lignite,1.594,2.61088009754274,23.3746130030959,0.302
2001,Austria,Gas,8.746,14.3254437472451,11.399821678767,0.895
2001,Austria,Other fossil,3.180009,5.20867139780853,11.938290495938,0.33915
2001,Austria,Nuclear,0.0,0.0,,0.0
2001,Austria,Renewables,42.233201,69.1755482725359,-2.7637879730662,-1.20041299999999
2001,Austria,Hydro,40.455406,66.2636225617385,-3.29851652736182,-1.37994599999999
2001,Austria,Wind and solar,0.109983,0.180145812903414,57.1567380649586,0.0399999999999999
2001,Austria,Wind,0.104647,0.171405752551791,56.7651376696527,0.0378929999999999
2001,Austria,Solar,0.005336,0.00874006035162363,65.2524001238773,0.002107
2001,Austria,Bioenergy,1.667812,2.73177989789395,9.13007376270955,0.139533
2001,Austria,Other renewables,0.0,0.0,,0.0
2001,Austria,Production,61.05221,,2.00449027394407,1.19973699999999
2001,Austria,Net imports,0.214999999999999,,-115.716374269005,1.583
2001,Austria,Demand,61.26721,,4.75807826805587,2.782737
